func_name,return_type,error_val(s),mubi,biff_key,filename:linenumber
gageContextCopy,gageContext *,NULL,0,gage,gage/ctx.c:86
gageKernelSet,int,1,0,gage,gage/ctx.c:197
gagePerVolumeAttach,int,1,0,gage,gage/ctx.c:396
gagePerVolumeDetach,int,1,0,gage,gage/ctx.c:455
gageDeconvolve,int,1,0,gage,gage/deconvolve.c:24
gageDeconvolveSeparable,int,1,0,gage,gage/deconvolve.c:206
gageKindCheck,int,1,0,gage,gage/kind.c:31
gageKindVolumeCheck,int,1,0,gage,gage/kind.c:216
gageVolumeCheck,int,1,0,gage,gage/pvl.c:34
gagePerVolumeNew,gagePerVolume *,NULL,0,gage,gage/pvl.c:55
gageQueryReset,int,1,0,gage,gage/pvl.c:259
gageQuerySet,int,1,0,gage,gage/pvl.c:285
gageQueryAdd,int,1,0,gage,gage/pvl.c:341
gageQueryItemOn,int,1,0,gage,gage/pvl.c:359
gageShapeSet,int,1,0,gage,gage/shape.c:403
gageShapeEqual,int,0,0,gage,gage/shape.c:466
gageStructureTensor,int,1,0,gage,gage/st.c:81
gageStackPerVolumeNew,int,1,0,gage,gage/stack.c:96
gageStackPerVolumeAttach,int,1,0,gage,gage/stack.c:125
gageStackBlurParmCompare,int,1,0,gage,gage/stackBlur.c:123
gageStackBlurParmCopy,int,1,0,gage,gage/stackBlur.c:228
gageStackBlurParmSigmaSet,int,1,0,gage,gage/stackBlur.c:265
gageStackBlurParmScaleSet,int,1,0,gage,gage/stackBlur.c:359
gageStackBlurParmKernelSet,int,1,0,gage,gage/stackBlur.c:383
gageStackBlurParmRenormalizeSet,int,1,0,gage,gage/stackBlur.c:396
gageStackBlurParmBoundarySet,int,1,0,gage,gage/stackBlur.c:408
gageStackBlurParmBoundarySpecSet,int,1,0,gage,gage/stackBlur.c:427
gageStackBlurParmOneDimSet,int,1,0,gage,gage/stackBlur.c:444
gageStackBlurParmNeedSpatialBlurSet,int,1,0,gage,gage/stackBlur.c:456
gageStackBlurParmVerboseSet,int,1,0,gage,gage/stackBlur.c:468
gageStackBlurParmDgGoodSigmaMaxSet,int,1,0,gage,gage/stackBlur.c:480
gageStackBlurParmCheck,int,1,0,gage,gage/stackBlur.c:496
gageStackBlurParmParse,int,1,0,gage,gage/stackBlur.c:543
gageStackBlurParmSprint,int,1,0,gage,gage/stackBlur.c:802
gageStackBlur,int,1,0,gage,gage/stackBlur.c:1384
gageStackBlurCheck,int,1,0,gage,gage/stackBlur.c:1487
gageStackBlurGet,int,1,0,gage,gage/stackBlur.c:1595
gageStackBlurManage,int,1,0,gage,gage/stackBlur.c:1696
gageUpdate,int,1,0,gage,gage/update.c:311
gageOptimSigSet,int,1,0,gage,gage/optimsig.c:215
gageOptimSigContextNew,gageOptimSigContext *,NULL,0,gage,gage/optimsig.c:309
gageOptimSigCalculate,int,1,0,gage,gage/optimsig.c:1088
gageOptimSigErrorPlot,int,1,0,gage,gage/optimsig.c:1160
gageOptimSigErrorPlotSliding,int,1,0,gage,gage/optimsig.c:1251
